Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2016,1,1,0,30,0,0,0
2016,1,1,1,30,0,0,0
2016,1,1,2,30,0,0,0
2016,1,1,3,30,0,0,0
2016,1,1,4,30,0,0,0
2016,1,1,5,30,0,0,0
2016,1,1,6,30,0,0,0
2016,1,1,7,30,0,0,0
2016,1,1,8,30,0,0,0
2016,1,1,9,30,0,0,0
2016,1,1,10,30,0,0,0
2016,1,1,11,30,0,0,0
2016,1,1,12,30,0,0,0
2016,1,1,13,30,0,0,0
2016,1,1,14,30,33,609,119
2016,1,1,15,30,49,822,293
2016,1,1,16,30,57,912,438
2016,1,1,17,30,62,947,531
2016,1,1,18,30,62,962,566
2016,1,1,19,30,175,480,416
2016,1,1,20,30,57,914,449
2016,1,1,21,30,51,822,308
2016,1,1,22,30,52,309,101
2016,1,1,23,30,0,0,0
2016,1,2,0,30,0,0,0
2016,1,2,1,30,0,0,0
2016,1,2,2,30,0,0,0
2016,1,2,3,30,0,0,0
2016,1,2,4,30,0,0,0
2016,1,2,5,30,0,0,0
2016,1,2,6,30,0,0,0
2016,1,2,7,30,0,0,0
2016,1,2,8,30,0,0,0
2016,1,2,9,30,0,0,0
2016,1,2,10,30,0,0,0
2016,1,2,11,30,0,0,0
2016,1,2,12,30,0,0,0
2016,1,2,13,30,0,0,0
2016,1,2,14,30,40,509,111
2016,1,2,15,30,118,56,135
2016,1,2,16,30,177,73,208
2016,1,2,17,30,191,24,203
2016,1,2,18,30,231,270,373
2016,1,2,19,30,78,900,530
2016,1,2,20,30,72,859,442
2016,1,2,21,30,62,769,304
2016,1,2,22,30,42,576,136
2016,1,2,23,30,0,0,0
2016,1,3,0,30,0,0,0
2016,1,3,1,30,0,0,0
2016,1,3,2,30,0,0,0
2016,1,3,3,30,0,0,0
2016,1,3,4,30,0,0,0
2016,1,3,5,30,0,0,0
2016,1,3,6,30,0,0,0
2016,1,3,7,30,0,0,0
2016,1,3,8,30,0,0,0
2016,1,3,9,30,0,0,0
2016,1,3,10,30,0,0,0
2016,1,3,11,30,0,0,0
2016,1,3,12,30,0,0,0
2016,1,3,13,30,0,0,0
2016,1,3,14,30,32,634,120
2016,1,3,15,30,47,840,296
2016,1,3,16,30,54,929,443
2016,1,3,17,30,57,981,545
2016,1,3,18,30,57,997,581
2016,1,3,19,30,54,989,553
2016,1,3,20,30,51,944,460
2016,1,3,21,30,47,861,320
2016,1,3,22,30,35,680,147
2016,1,3,23,30,0,0,0
2016,1,4,0,30,0,0,0
2016,1,4,1,30,0,0,0
2016,1,4,2,30,0,0,0
2016,1,4,3,30,0,0,0
2016,1,4,4,30,0,0,0
2016,1,4,5,30,0,0,0
2016,1,4,6,30,0,0,0
2016,1,4,7,30,0,0,0
2016,1,4,8,30,0,0,0
2016,1,4,9,30,0,0,0
2016,1,4,10,30,0,0,0
2016,1,4,11,30,0,0,0
2016,1,4,12,30,0,0,0
2016,1,4,13,30,0,0,0
2016,1,4,14,30,36,575,116
2016,1,4,15,30,54,794,290
2016,1,4,16,30,64,889,437
2016,1,4,17,30,71,929,534
2016,1,4,18,30,72,946,571
2016,1,4,19,30,72,934,544
2016,1,4,20,30,84,729,402
2016,1,4,21,30,103,426,240
2016,1,4,22,30,62,57,72
2016,1,4,23,30,0,0,0
2016,1,5,0,30,0,0,0
2016,1,5,1,30,0,0,0
2016,1,5,2,30,0,0,0
2016,1,5,3,30,0,0,0
2016,1,5,4,30,0,0,0
2016,1,5,5,30,0,0,0
2016,1,5,6,30,0,0,0
2016,1,5,7,30,0,0,0
2016,1,5,8,30,0,0,0
2016,1,5,9,30,0,0,0
2016,1,5,10,30,0,0,0
2016,1,5,11,30,0,0,0
2016,1,5,12,30,0,0,0
2016,1,5,13,30,0,0,0
2016,1,5,14,30,46,286,86
2016,1,5,15,30,98,393,215
2016,1,5,16,30,142,462,335
2016,1,5,17,30,182,450,406
2016,1,5,18,30,127,684,489
2016,1,5,19,30,74,918,540
2016,1,5,20,30,168,366,328
2016,1,5,21,30,63,771,311
2016,1,5,22,30,44,570,141
2016,1,5,23,30,0,0,0
2016,1,6,0,30,0,0,0
2016,1,6,1,30,0,0,0
2016,1,6,2,30,0,0,0
2016,1,6,3,30,0,0,0
2016,1,6,4,30,0,0,0
2016,1,6,5,30,0,0,0
2016,1,6,6,30,0,0,0
2016,1,6,7,30,0,0,0
2016,1,6,8,30,0,0,0
2016,1,6,9,30,0,0,0
2016,1,6,10,30,0,0,0
2016,1,6,11,30,0,0,0
2016,1,6,12,30,0,0,0
2016,1,6,13,30,0,0,0
2016,1,6,14,30,53,323,98
2016,1,6,15,30,52,0,52
2016,1,6,16,30,120,0,120
2016,1,6,17,30,124,0,124
2016,1,6,18,30,130,0,130
2016,1,6,19,30,185,14,192
2016,1,6,20,30,167,20,175
2016,1,6,21,30,108,0,108
2016,1,6,22,30,27,0,27
2016,1,6,23,30,0,0,0
2016,1,7,0,30,0,0,0
2016,1,7,1,30,0,0,0
2016,1,7,2,30,0,0,0
2016,1,7,3,30,0,0,0
2016,1,7,4,30,0,0,0
2016,1,7,5,30,0,0,0
2016,1,7,6,30,0,0,0
2016,1,7,7,30,0,0,0
2016,1,7,8,30,0,0,0
2016,1,7,9,30,0,0,0
2016,1,7,10,30,0,0,0
2016,1,7,11,30,0,0,0
2016,1,7,12,30,0,0,0
2016,1,7,13,30,0,0,0
2016,1,7,14,30,44,433,105
2016,1,7,15,30,57,0,57
2016,1,7,16,30,80,0,80
2016,1,7,17,30,127,0,127
2016,1,7,18,30,171,4,173
2016,1,7,19,30,195,21,206
2016,1,7,20,30,186,274,307
2016,1,7,21,30,119,340,230
2016,1,7,22,30,65,48,74
2016,1,7,23,30,0,0,0
2016,1,8,0,30,0,0,0
2016,1,8,1,30,0,0,0
2016,1,8,2,30,0,0,0
2016,1,8,3,30,0,0,0
2016,1,8,4,30,0,0,0
2016,1,8,5,30,0,0,0
2016,1,8,6,30,0,0,0
2016,1,8,7,30,0,0,0
2016,1,8,8,30,0,0,0
2016,1,8,9,30,0,0,0
2016,1,8,10,30,0,0,0
2016,1,8,11,30,0,0,0
2016,1,8,12,30,0,0,0
2016,1,8,13,30,0,0,0
2016,1,8,14,30,34,0,34
2016,1,8,15,30,96,0,96
2016,1,8,16,30,99,0,99
2016,1,8,17,30,186,17,194
2016,1,8,18,30,100,0,100
2016,1,8,19,30,221,56,249
2016,1,8,20,30,193,82,229
2016,1,8,21,30,123,17,129
2016,1,8,22,30,35,0,35
2016,1,8,23,30,0,0,0
2016,1,9,0,30,0,0,0
2016,1,9,1,30,0,0,0
2016,1,9,2,30,0,0,0
2016,1,9,3,30,0,0,0
2016,1,9,4,30,0,0,0
2016,1,9,5,30,0,0,0
2016,1,9,6,30,0,0,0
2016,1,9,7,30,0,0,0
2016,1,9,8,30,0,0,0
2016,1,9,9,30,0,0,0
2016,1,9,10,30,0,0,0
2016,1,9,11,30,0,0,0
2016,1,9,12,30,0,0,0
2016,1,9,13,30,0,0,0
2016,1,9,14,30,28,0,28
2016,1,9,15,30,68,0,68
2016,1,9,16,30,146,5,148
2016,1,9,17,30,177,10,182
2016,1,9,18,30,134,0,134
2016,1,9,19,30,200,412,413
2016,1,9,20,30,150,2,151
2016,1,9,21,30,93,0,93
2016,1,9,22,30,68,123,90
2016,1,9,23,30,0,0,0
2016,1,10,0,30,0,0,0
2016,1,10,1,30,0,0,0
2016,1,10,2,30,0,0,0
2016,1,10,3,30,0,0,0
2016,1,10,4,30,0,0,0
2016,1,10,5,30,0,0,0
2016,1,10,6,30,0,0,0
2016,1,10,7,30,0,0,0
2016,1,10,8,30,0,0,0
2016,1,10,9,30,0,0,0
2016,1,10,10,30,0,0,0
2016,1,10,11,30,0,0,0
2016,1,10,12,30,0,0,0
2016,1,10,13,30,0,0,0
2016,1,10,14,30,36,627,125
2016,1,10,15,30,58,836,309
2016,1,10,16,30,72,925,465
2016,1,10,17,30,80,967,570
2016,1,10,18,30,80,986,611
2016,1,10,19,30,78,970,581
2016,1,10,20,30,72,935,493
2016,1,10,21,30,62,855,349
2016,1,10,22,30,44,669,167
2016,1,10,23,30,0,0,0
2016,1,11,0,30,0,0,0
2016,1,11,1,30,0,0,0
2016,1,11,2,30,0,0,0
2016,1,11,3,30,0,0,0
2016,1,11,4,30,0,0,0
2016,1,11,5,30,0,0,0
2016,1,11,6,30,0,0,0
2016,1,11,7,30,0,0,0
2016,1,11,8,30,0,0,0
2016,1,11,9,30,0,0,0
2016,1,11,10,30,0,0,0
2016,1,11,11,30,0,0,0
2016,1,11,12,30,0,0,0
2016,1,11,13,30,0,0,0
2016,1,11,14,30,51,156,73
2016,1,11,15,30,60,767,291
2016,1,11,16,30,70,871,442
2016,1,11,17,30,75,919,543
2016,1,11,18,30,76,940,584
2016,1,11,19,30,74,934,561
2016,1,11,20,30,68,898,475
2016,1,11,21,30,58,824,337
2016,1,11,22,30,41,653,163
2016,1,11,23,30,0,0,0
2016,1,12,0,30,0,0,0
2016,1,12,1,30,0,0,0
2016,1,12,2,30,0,0,0
2016,1,12,3,30,0,0,0
2016,1,12,4,30,0,0,0
2016,1,12,5,30,0,0,0
2016,1,12,6,30,0,0,0
2016,1,12,7,30,0,0,0
2016,1,12,8,30,0,0,0
2016,1,12,9,30,0,0,0
2016,1,12,10,30,0,0,0
2016,1,12,11,30,0,0,0
2016,1,12,12,30,0,0,0
2016,1,12,13,30,0,0,0
2016,1,12,14,30,32,632,122
2016,1,12,15,30,47,839,301
2016,1,12,16,30,54,929,453
2016,1,12,17,30,59,972,554
2016,1,12,18,30,59,988,596
2016,1,12,19,30,59,979,573
2016,1,12,20,30,57,943,487
2016,1,12,21,30,51,869,348
2016,1,12,22,30,38,705,172
2016,1,12,23,30,0,0,0
2016,1,13,0,30,0,0,0
2016,1,13,1,30,0,0,0
2016,1,13,2,30,0,0,0
2016,1,13,3,30,0,0,0
2016,1,13,4,30,0,0,0
2016,1,13,5,30,0,0,0
2016,1,13,6,30,0,0,0
2016,1,13,7,30,0,0,0
2016,1,13,8,30,0,0,0
2016,1,13,9,30,0,0,0
2016,1,13,10,30,0,0,0
2016,1,13,11,30,0,0,0
2016,1,13,12,30,0,0,0
2016,1,13,13,30,0,0,0
2016,1,13,14,30,52,111,68
2016,1,13,15,30,51,819,300
2016,1,13,16,30,59,913,452
2016,1,13,17,30,64,955,554
2016,1,13,18,30,65,973,595
2016,1,13,19,30,65,963,573
2016,1,13,20,30,61,928,487
2016,1,13,21,30,55,850,348
2016,1,13,22,30,40,687,173
2016,1,13,23,30,10,220,15
2016,1,14,0,30,0,0,0
2016,1,14,1,30,0,0,0
2016,1,14,2,30,0,0,0
2016,1,14,3,30,0,0,0
2016,1,14,4,30,0,0,0
2016,1,14,5,30,0,0,0
2016,1,14,6,30,0,0,0
2016,1,14,7,30,0,0,0
2016,1,14,8,30,0,0,0
2016,1,14,9,30,0,0,0
2016,1,14,10,30,0,0,0
2016,1,14,11,30,0,0,0
2016,1,14,12,30,0,0,0
2016,1,14,13,30,0,0,0
2016,1,14,14,30,35,612,124
2016,1,14,15,30,53,829,306
2016,1,14,16,30,63,919,460
2016,1,14,17,30,70,959,563
2016,1,14,18,30,71,966,601
2016,1,14,19,30,71,950,575
2016,1,14,20,30,69,903,486
2016,1,14,21,30,61,816,345
2016,1,14,22,30,72,194,111
2016,1,14,23,30,7,0,7
2016,1,15,0,30,0,0,0
2016,1,15,1,30,0,0,0
2016,1,15,2,30,0,0,0
2016,1,15,3,30,0,0,0
2016,1,15,4,30,0,0,0
2016,1,15,5,30,0,0,0
2016,1,15,6,30,0,0,0
2016,1,15,7,30,0,0,0
2016,1,15,8,30,0,0,0
2016,1,15,9,30,0,0,0
2016,1,15,10,30,0,0,0
2016,1,15,11,30,0,0,0
2016,1,15,12,30,0,0,0
2016,1,15,13,30,0,0,0
2016,1,15,14,30,32,624,123
2016,1,15,15,30,48,829,302
2016,1,15,16,30,56,918,454
2016,1,15,17,30,60,955,554
2016,1,15,18,30,59,974,595
2016,1,15,19,30,58,961,570
2016,1,15,20,30,57,926,487
2016,1,15,21,30,51,848,348
2016,1,15,22,30,41,678,176
2016,1,15,23,30,7,0,7
2016,1,16,0,30,0,0,0
2016,1,16,1,30,0,0,0
2016,1,16,2,30,0,0,0
2016,1,16,3,30,0,0,0
2016,1,16,4,30,0,0,0
2016,1,16,5,30,0,0,0
2016,1,16,6,30,0,0,0
2016,1,16,7,30,0,0,0
2016,1,16,8,30,0,0,0
2016,1,16,9,30,0,0,0
2016,1,16,10,30,0,0,0
2016,1,16,11,30,0,0,0
2016,1,16,12,30,0,0,0
2016,1,16,13,30,0,0,0
2016,1,16,14,30,26,0,26
2016,1,16,15,30,91,0,91
2016,1,16,16,30,188,87,226
2016,1,16,17,30,229,266,367
2016,1,16,18,30,220,407,446
2016,1,16,19,30,201,451,442
2016,1,16,20,30,208,194,298
2016,1,16,21,30,149,116,190
2016,1,16,22,30,46,665,180
2016,1,16,23,30,13,231,19
2016,1,17,0,30,0,0,0
2016,1,17,1,30,0,0,0
2016,1,17,2,30,0,0,0
2016,1,17,3,30,0,0,0
2016,1,17,4,30,0,0,0
2016,1,17,5,30,0,0,0
2016,1,17,6,30,0,0,0
2016,1,17,7,30,0,0,0
2016,1,17,8,30,0,0,0
2016,1,17,9,30,0,0,0
2016,1,17,10,30,0,0,0
2016,1,17,11,30,0,0,0
2016,1,17,12,30,0,0,0
2016,1,17,13,30,0,0,0
2016,1,17,14,30,51,3,52
2016,1,17,15,30,127,153,174
2016,1,17,16,30,168,365,328
2016,1,17,17,30,94,857,541
2016,1,17,18,30,207,465,465
2016,1,17,19,30,203,447,443
2016,1,17,20,30,199,282,332
2016,1,17,21,30,135,325,251
2016,1,17,22,30,79,116,103
2016,1,17,23,30,15,160,20
2016,1,18,0,30,0,0,0
2016,1,18,1,30,0,0,0
2016,1,18,2,30,0,0,0
2016,1,18,3,30,0,0,0
2016,1,18,4,30,0,0,0
2016,1,18,5,30,0,0,0
2016,1,18,6,30,0,0,0
2016,1,18,7,30,0,0,0
2016,1,18,8,30,0,0,0
2016,1,18,9,30,0,0,0
2016,1,18,10,30,0,0,0
2016,1,18,11,30,0,0,0
2016,1,18,12,30,0,0,0
2016,1,18,13,30,0,0,0
2016,1,18,14,30,39,560,123
2016,1,18,15,30,89,0,89
2016,1,18,16,30,165,18,173
2016,1,18,17,30,218,43,241
2016,1,18,18,30,231,39,253
2016,1,18,19,30,227,44,251
2016,1,18,20,30,191,36,208
2016,1,18,21,30,137,22,145
2016,1,18,22,30,80,111,104
2016,1,18,23,30,11,0,11
2016,1,19,0,30,0,0,0
2016,1,19,1,30,0,0,0
2016,1,19,2,30,0,0,0
2016,1,19,3,30,0,0,0
2016,1,19,4,30,0,0,0
2016,1,19,5,30,0,0,0
2016,1,19,6,30,0,0,0
2016,1,19,7,30,0,0,0
2016,1,19,8,30,0,0,0
2016,1,19,9,30,0,0,0
2016,1,19,10,30,0,0,0
2016,1,19,11,30,0,0,0
2016,1,19,12,30,0,0,0
2016,1,19,13,30,0,0,0
2016,1,19,14,30,54,381,111
2016,1,19,15,30,123,237,198
2016,1,19,16,30,138,0,138
2016,1,19,17,30,230,67,265
2016,1,19,18,30,202,14,210
2016,1,19,19,30,247,90,296
2016,1,19,20,30,62,0,62
2016,1,19,21,30,86,0,86
2016,1,19,22,30,40,0,40
2016,1,19,23,30,17,116,21
2016,1,20,0,30,0,0,0
2016,1,20,1,30,0,0,0
2016,1,20,2,30,0,0,0
2016,1,20,3,30,0,0,0
2016,1,20,4,30,0,0,0
2016,1,20,5,30,0,0,0
2016,1,20,6,30,0,0,0
2016,1,20,7,30,0,0,0
2016,1,20,8,30,0,0,0
2016,1,20,9,30,0,0,0
2016,1,20,10,30,0,0,0
2016,1,20,11,30,0,0,0
2016,1,20,12,30,0,0,0
2016,1,20,13,30,0,0,0
2016,1,20,14,30,21,0,21
2016,1,20,15,30,114,8,116
2016,1,20,16,30,39,0,39
2016,1,20,17,30,187,11,193
2016,1,20,18,30,253,75,295
2016,1,20,19,30,254,124,322
2016,1,20,20,30,217,143,285
2016,1,20,21,30,151,61,173
2016,1,20,22,30,79,224,128
2016,1,20,23,30,12,0,12
2016,1,21,0,30,0,0,0
2016,1,21,1,30,0,0,0
2016,1,21,2,30,0,0,0
2016,1,21,3,30,0,0,0
2016,1,21,4,30,0,0,0
2016,1,21,5,30,0,0,0
2016,1,21,6,30,0,0,0
2016,1,21,7,30,0,0,0
2016,1,21,8,30,0,0,0
2016,1,21,9,30,0,0,0
2016,1,21,10,30,0,0,0
2016,1,21,11,30,0,0,0
2016,1,21,12,30,0,0,0
2016,1,21,13,30,0,0,0
2016,1,21,14,30,49,0,49
2016,1,21,15,30,95,0,95
2016,1,21,16,30,181,39,198
2016,1,21,17,30,140,0,140
2016,1,21,18,30,235,39,258
2016,1,21,19,30,39,0,39
2016,1,21,20,30,97,0,97
2016,1,21,21,30,41,0,41
2016,1,21,22,30,24,0,24
2016,1,21,23,30,5,0,5
2016,1,22,0,30,0,0,0
2016,1,22,1,30,0,0,0
2016,1,22,2,30,0,0,0
2016,1,22,3,30,0,0,0
2016,1,22,4,30,0,0,0
2016,1,22,5,30,0,0,0
2016,1,22,6,30,0,0,0
2016,1,22,7,30,0,0,0
2016,1,22,8,30,0,0,0
2016,1,22,9,30,0,0,0
2016,1,22,10,30,0,0,0
2016,1,22,11,30,0,0,0
2016,1,22,12,30,0,0,0
2016,1,22,13,30,0,0,0
2016,1,22,14,30,46,514,127
2016,1,22,15,30,127,51,144
2016,1,22,16,30,111,0,111
2016,1,22,17,30,143,0,143
2016,1,22,18,30,173,2,174
2016,1,22,19,30,134,0,134
2016,1,22,20,30,135,0,135
2016,1,22,21,30,57,0,57
2016,1,22,22,30,42,0,42
2016,1,22,23,30,18,309,32
2016,1,23,0,30,0,0,0
2016,1,23,1,30,0,0,0
2016,1,23,2,30,0,0,0
2016,1,23,3,30,0,0,0
2016,1,23,4,30,0,0,0
2016,1,23,5,30,0,0,0
2016,1,23,6,30,0,0,0
2016,1,23,7,30,0,0,0
2016,1,23,8,30,0,0,0
2016,1,23,9,30,0,0,0
2016,1,23,10,30,0,0,0
2016,1,23,11,30,0,0,0
2016,1,23,12,30,0,0,0
2016,1,23,13,30,0,0,0
2016,1,23,14,30,42,547,128
2016,1,23,15,30,132,95,163
2016,1,23,16,30,157,455,363
2016,1,23,17,30,76,920,571
2016,1,23,18,30,75,942,617
2016,1,23,19,30,73,938,597
2016,1,23,20,30,69,908,515
2016,1,23,21,30,61,840,378
2016,1,23,22,30,47,694,204
2016,1,23,23,30,18,302,33
2016,1,24,0,30,0,0,0
2016,1,24,1,30,0,0,0
2016,1,24,2,30,0,0,0
2016,1,24,3,30,0,0,0
2016,1,24,4,30,0,0,0
2016,1,24,5,30,0,0,0
2016,1,24,6,30,0,0,0
2016,1,24,7,30,0,0,0
2016,1,24,8,30,0,0,0
2016,1,24,9,30,0,0,0
2016,1,24,10,30,0,0,0
2016,1,24,11,30,0,0,0
2016,1,24,12,30,0,0,0
2016,1,24,13,30,0,0,0
2016,1,24,14,30,57,189,87
2016,1,24,15,30,133,86,161
2016,1,24,16,30,151,494,376
2016,1,24,17,30,173,552,471
2016,1,24,18,30,174,596,518
2016,1,24,19,30,224,415,457
2016,1,24,20,30,98,746,468
2016,1,24,21,30,61,855,387
2016,1,24,22,30,46,714,210
2016,1,24,23,30,22,0,22
2016,1,25,0,30,0,0,0
2016,1,25,1,30,0,0,0
2016,1,25,2,30,0,0,0
2016,1,25,3,30,0,0,0
2016,1,25,4,30,0,0,0
2016,1,25,5,30,0,0,0
2016,1,25,6,30,0,0,0
2016,1,25,7,30,0,0,0
2016,1,25,8,30,0,0,0
2016,1,25,9,30,0,0,0
2016,1,25,10,30,0,0,0
2016,1,25,11,30,0,0,0
2016,1,25,12,30,0,0,0
2016,1,25,13,30,0,0,0
2016,1,25,14,30,39,582,134
2016,1,25,15,30,61,780,316
2016,1,25,16,30,76,864,472
2016,1,25,17,30,83,916,581
2016,1,25,18,30,83,941,630
2016,1,25,19,30,81,936,611
2016,1,25,20,30,186,434,402
2016,1,25,21,30,65,844,390
2016,1,25,22,30,85,247,143
2016,1,25,23,30,20,314,37
2016,1,26,0,30,0,0,0
2016,1,26,1,30,0,0,0
2016,1,26,2,30,0,0,0
2016,1,26,3,30,0,0,0
2016,1,26,4,30,0,0,0
2016,1,26,5,30,0,0,0
2016,1,26,6,30,0,0,0
2016,1,26,7,30,0,0,0
2016,1,26,8,30,0,0,0
2016,1,26,9,30,0,0,0
2016,1,26,10,30,0,0,0
2016,1,26,11,30,0,0,0
2016,1,26,12,30,0,0,0
2016,1,26,13,30,0,0,0
2016,1,26,14,30,38,618,140
2016,1,26,15,30,57,824,328
2016,1,26,16,30,67,914,488
2016,1,26,17,30,74,954,596
2016,1,26,18,30,77,968,643
2016,1,26,19,30,75,964,624
2016,1,26,20,30,73,937,544
2016,1,26,21,30,66,866,403
2016,1,26,22,30,49,733,223
2016,1,26,23,30,20,380,42
2016,1,27,0,30,0,0,0
2016,1,27,1,30,0,0,0
2016,1,27,2,30,0,0,0
2016,1,27,3,30,0,0,0
2016,1,27,4,30,0,0,0
2016,1,27,5,30,0,0,0
2016,1,27,6,30,0,0,0
2016,1,27,7,30,0,0,0
2016,1,27,8,30,0,0,0
2016,1,27,9,30,0,0,0
2016,1,27,10,30,0,0,0
2016,1,27,11,30,0,0,0
2016,1,27,12,30,0,0,0
2016,1,27,13,30,0,0,0
2016,1,27,14,30,35,677,148
2016,1,27,15,30,51,868,339
2016,1,27,16,30,58,953,500
2016,1,27,17,30,63,984,605
2016,1,27,18,30,64,999,652
2016,1,27,19,30,63,995,633
2016,1,27,20,30,59,959,545
2016,1,27,21,30,54,896,406
2016,1,27,22,30,42,758,225
2016,1,27,23,30,19,408,44
2016,1,28,0,30,0,0,0
2016,1,28,1,30,0,0,0
2016,1,28,2,30,0,0,0
2016,1,28,3,30,0,0,0
2016,1,28,4,30,0,0,0
2016,1,28,5,30,0,0,0
2016,1,28,6,30,0,0,0
2016,1,28,7,30,0,0,0
2016,1,28,8,30,0,0,0
2016,1,28,9,30,0,0,0
2016,1,28,10,30,0,0,0
2016,1,28,11,30,0,0,0
2016,1,28,12,30,0,0,0
2016,1,28,13,30,0,0,0
2016,1,28,14,30,37,631,143
2016,1,28,15,30,54,828,331
2016,1,28,16,30,61,915,487
2016,1,28,17,30,64,959,595
2016,1,28,18,30,67,972,643
2016,1,28,19,30,67,965,624
2016,1,28,20,30,64,936,542
2016,1,28,21,30,55,884,406
2016,1,28,22,30,43,753,228
2016,1,28,23,30,20,407,46
2016,1,29,0,30,0,0,0
2016,1,29,1,30,0,0,0
2016,1,29,2,30,0,0,0
2016,1,29,3,30,0,0,0
2016,1,29,4,30,0,0,0
2016,1,29,5,30,0,0,0
2016,1,29,6,30,0,0,0
2016,1,29,7,30,0,0,0
2016,1,29,8,30,0,0,0
2016,1,29,9,30,0,0,0
2016,1,29,10,30,0,0,0
2016,1,29,11,30,0,0,0
2016,1,29,12,30,0,0,0
2016,1,29,13,30,0,0,0
2016,1,29,14,30,32,674,148
2016,1,29,15,30,45,857,335
2016,1,29,16,30,55,929,492
2016,1,29,17,30,62,961,598
2016,1,29,18,30,65,974,645
2016,1,29,19,30,65,967,627
2016,1,29,20,30,63,938,545
2016,1,29,21,30,57,870,406
2016,1,29,22,30,46,729,227
2016,1,29,23,30,21,374,47
2016,1,30,0,30,0,0,0
2016,1,30,1,30,0,0,0
2016,1,30,2,30,0,0,0
2016,1,30,3,30,0,0,0
2016,1,30,4,30,0,0,0
2016,1,30,5,30,0,0,0
2016,1,30,6,30,0,0,0
2016,1,30,7,30,0,0,0
2016,1,30,8,30,0,0,0
2016,1,30,9,30,0,0,0
2016,1,30,10,30,0,0,0
2016,1,30,11,30,0,0,0
2016,1,30,12,30,0,0,0
2016,1,30,13,30,0,0,0
2016,1,30,14,30,63,199,97
2016,1,30,15,30,69,678,300
2016,1,30,16,30,158,500,394
2016,1,30,17,30,206,480,475
2016,1,30,18,30,177,616,546
2016,1,30,19,30,205,512,505
2016,1,30,20,30,206,387,407
2016,1,30,21,30,160,312,287
2016,1,30,22,30,44,741,231
2016,1,30,23,30,21,411,50
2016,1,31,0,30,0,0,0
2016,1,31,1,30,0,0,0
2016,1,31,2,30,0,0,0
2016,1,31,3,30,0,0,0
2016,1,31,4,30,0,0,0
2016,1,31,5,30,0,0,0
2016,1,31,6,30,0,0,0
2016,1,31,7,30,0,0,0
2016,1,31,8,30,0,0,0
2016,1,31,9,30,0,0,0
2016,1,31,10,30,0,0,0
2016,1,31,11,30,0,0,0
2016,1,31,12,30,0,0,0
2016,1,31,13,30,0,0,0
2016,1,31,14,30,56,331,115
2016,1,31,15,30,57,803,333
2016,1,31,16,30,66,889,490
2016,1,31,17,30,71,932,597
2016,1,31,18,30,71,949,643
2016,1,31,19,30,70,944,626
2016,1,31,20,30,67,915,545
2016,1,31,21,30,177,142,235
2016,1,31,22,30,47,728,233
2016,1,31,23,30,22,403,53
2008,2,1,0,30,0,0,0
2008,2,1,1,30,0,0,0
2008,2,1,2,30,0,0,0
2008,2,1,3,30,0,0,0
2008,2,1,4,30,0,0,0
2008,2,1,5,30,0,0,0
2008,2,1,6,30,0,0,0
2008,2,1,7,30,0,0,0
2008,2,1,8,30,0,0,0
2008,2,1,9,30,0,0,0
2008,2,1,10,30,0,0,0
2008,2,1,11,30,0,0,0
2008,2,1,12,30,0,0,0
2008,2,1,13,30,0,0,0
2008,2,1,14,30,42,685,165
2008,2,1,15,30,61,874,364
2008,2,1,16,30,128,616,423
2008,2,1,17,30,134,706,535
2008,2,1,18,30,83,926,644
2008,2,1,19,30,152,682,555
2008,2,1,20,30,77,971,587
2008,2,1,21,30,66,914,443
2008,2,1,22,30,50,795,256
2008,2,1,23,30,25,461,61
2008,2,2,0,30,0,0,0
2008,2,2,1,30,0,0,0
2008,2,2,2,30,0,0,0
2008,2,2,3,30,0,0,0
2008,2,2,4,30,0,0,0
2008,2,2,5,30,0,0,0
2008,2,2,6,30,0,0,0
2008,2,2,7,30,0,0,0
2008,2,2,8,30,0,0,0
2008,2,2,9,30,0,0,0
2008,2,2,10,30,0,0,0
2008,2,2,11,30,0,0,0
2008,2,2,12,30,0,0,0
2008,2,2,13,30,0,0,0
2008,2,2,14,30,38,679,162
2008,2,2,15,30,52,865,355
2008,2,2,16,30,60,946,517
2008,2,2,17,30,65,979,625
2008,2,2,18,30,67,993,673
2008,2,2,19,30,67,982,652
2008,2,2,20,30,63,956,569
2008,2,2,21,30,56,898,430
2008,2,2,22,30,46,774,249
2008,2,2,23,30,23,452,60
2008,2,3,0,30,0,0,0
2008,2,3,1,30,0,0,0
2008,2,3,2,30,0,0,0
2008,2,3,3,30,0,0,0
2008,2,3,4,30,0,0,0
2008,2,3,5,30,0,0,0
2008,2,3,6,30,0,0,0
2008,2,3,7,30,0,0,0
2008,2,3,8,30,0,0,0
2008,2,3,9,30,0,0,0
2008,2,3,10,30,0,0,0
2008,2,3,11,30,0,0,0
2008,2,3,12,30,0,0,0
2008,2,3,13,30,0,0,0
2008,2,3,14,30,57,0,57
2008,2,3,15,30,70,772,343
2008,2,3,16,30,73,899,510
2008,2,3,17,30,74,952,622
2008,2,3,18,30,72,975,672
2008,2,3,19,30,71,971,654
2008,2,3,20,30,68,943,572
2008,2,3,21,30,114,588,361
2008,2,3,22,30,49,754,250
2008,2,3,23,30,25,437,62
2008,2,4,0,30,0,0,0
2008,2,4,1,30,0,0,0
2008,2,4,2,30,0,0,0
2008,2,4,3,30,0,0,0
2008,2,4,4,30,0,0,0
