Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2016,1,1,0,30,0,0,0
2016,1,1,1,30,0,0,0
2016,1,1,2,30,0,0,0
2016,1,1,3,30,0,0,0
2016,1,1,4,30,0,0,0
2016,1,1,5,30,0,0,0
2016,1,1,6,30,0,0,0
2016,1,1,7,30,0,0,0
2016,1,1,8,30,0,0,0
2016,1,1,9,30,0,0,0
2016,1,1,10,30,0,0,0
2016,1,1,11,30,0,0,0
2016,1,1,12,30,0,0,0
2016,1,1,13,30,64,38,70
2016,1,1,14,30,122,33,132
2016,1,1,15,30,172,49,193
2016,1,1,16,30,186,26,199
2016,1,1,17,30,210,63,241
2016,1,1,18,30,168,16,175
2016,1,1,19,30,133,9,136
2016,1,1,20,30,66,0,66
2016,1,1,21,30,14,0,14
2016,1,1,22,30,0,0,0
2016,1,1,23,30,0,0,0
2016,1,2,0,30,0,0,0
2016,1,2,1,30,0,0,0
2016,1,2,2,30,0,0,0
2016,1,2,3,30,0,0,0
2016,1,2,4,30,0,0,0
2016,1,2,5,30,0,0,0
2016,1,2,6,30,0,0,0
2016,1,2,7,30,0,0,0
2016,1,2,8,30,0,0,0
2016,1,2,9,30,0,0,0
2016,1,2,10,30,0,0,0
2016,1,2,11,30,0,0,0
2016,1,2,12,30,0,0,0
2016,1,2,13,30,39,640,151
2016,1,2,14,30,53,821,313
2016,1,2,15,30,59,905,439
2016,1,2,16,30,62,938,513
2016,1,2,17,30,62,946,527
2016,1,2,18,30,60,926,480
2016,1,2,19,30,55,873,377
2016,1,2,20,30,44,761,229
2016,1,2,21,30,24,485,65
2016,1,2,22,30,0,0,0
2016,1,2,23,30,0,0,0
2016,1,3,0,30,0,0,0
2016,1,3,1,30,0,0,0
2016,1,3,2,30,0,0,0
2016,1,3,3,30,0,0,0
2016,1,3,4,30,0,0,0
2016,1,3,5,30,0,0,0
2016,1,3,6,30,0,0,0
2016,1,3,7,30,0,0,0
2016,1,3,8,30,0,0,0
2016,1,3,9,30,0,0,0
2016,1,3,10,30,0,0,0
2016,1,3,11,30,0,0,0
2016,1,3,12,30,0,0,0
2016,1,3,13,30,60,244,103
2016,1,3,14,30,50,858,321
2016,1,3,15,30,56,931,449
2016,1,3,16,30,60,964,524
2016,1,3,17,30,61,958,534
2016,1,3,18,30,60,938,487
2016,1,3,19,30,55,874,379
2016,1,3,20,30,75,406,175
2016,1,3,21,30,31,101,40
2016,1,3,22,30,0,0,0
2016,1,3,23,30,0,0,0
2016,1,4,0,30,0,0,0
2016,1,4,1,30,0,0,0
2016,1,4,2,30,0,0,0
2016,1,4,3,30,0,0,0
2016,1,4,4,30,0,0,0
2016,1,4,5,30,0,0,0
2016,1,4,6,30,0,0,0
2016,1,4,7,30,0,0,0
2016,1,4,8,30,0,0,0
2016,1,4,9,30,0,0,0
2016,1,4,10,30,0,0,0
2016,1,4,11,30,0,0,0
2016,1,4,12,30,0,0,0
2016,1,4,13,30,48,0,48
2016,1,4,14,30,77,0,77
2016,1,4,15,30,179,218,271
2016,1,4,16,30,65,0,65
2016,1,4,17,30,220,199,319
2016,1,4,18,30,157,5,159
2016,1,4,19,30,97,0,97
2016,1,4,20,30,53,730,233
2016,1,4,21,30,32,65,38
2016,1,4,22,30,0,0,0
2016,1,4,23,30,0,0,0
2016,1,5,0,30,0,0,0
2016,1,5,1,30,0,0,0
2016,1,5,2,30,0,0,0
2016,1,5,3,30,0,0,0
2016,1,5,4,30,0,0,0
2016,1,5,5,30,0,0,0
2016,1,5,6,30,0,0,0
2016,1,5,7,30,0,0,0
2016,1,5,8,30,0,0,0
2016,1,5,9,30,0,0,0
2016,1,5,10,30,0,0,0
2016,1,5,11,30,0,0,0
2016,1,5,12,30,0,0,0
2016,1,5,13,30,38,715,162
2016,1,5,14,30,51,880,330
2016,1,5,15,30,56,957,461
2016,1,5,16,30,60,990,539
2016,1,5,17,30,60,980,547
2016,1,5,18,30,57,964,500
2016,1,5,19,30,52,915,395
2016,1,5,20,30,43,807,245
2016,1,5,21,30,25,560,77
2016,1,5,22,30,0,0,0
2016,1,5,23,30,0,0,0
2016,1,6,0,30,0,0,0
2016,1,6,1,30,0,0,0
2016,1,6,2,30,0,0,0
2016,1,6,3,30,0,0,0
2016,1,6,4,30,0,0,0
2016,1,6,5,30,0,0,0
2016,1,6,6,30,0,0,0
2016,1,6,7,30,0,0,0
2016,1,6,8,30,0,0,0
2016,1,6,9,30,0,0,0
2016,1,6,10,30,0,0,0
2016,1,6,11,30,0,0,0
2016,1,6,12,30,0,0,0
2016,1,6,13,30,39,690,159
2016,1,6,14,30,52,848,321
2016,1,6,15,30,58,926,451
2016,1,6,16,30,62,950,523
2016,1,6,17,30,62,949,535
2016,1,6,18,30,63,924,490
2016,1,6,19,30,59,862,385
2016,1,6,20,30,50,736,236
2016,1,6,21,30,29,442,71
2016,1,6,22,30,0,0,0
2016,1,6,23,30,0,0,0
2016,1,7,0,30,0,0,0
2016,1,7,1,30,0,0,0
2016,1,7,2,30,0,0,0
2016,1,7,3,30,0,0,0
2016,1,7,4,30,0,0,0
2016,1,7,5,30,0,0,0
2016,1,7,6,30,0,0,0
2016,1,7,7,30,0,0,0
2016,1,7,8,30,0,0,0
2016,1,7,9,30,0,0,0
2016,1,7,10,30,0,0,0
2016,1,7,11,30,0,0,0
2016,1,7,12,30,0,0,0
2016,1,7,13,30,35,0,35
2016,1,7,14,30,106,0,106
2016,1,7,15,30,170,305,299
2016,1,7,16,30,164,492,404
2016,1,7,17,30,77,886,520
2016,1,7,18,30,74,868,476
2016,1,7,19,30,68,811,376
2016,1,7,20,30,55,689,231
2016,1,7,21,30,31,405,70
2016,1,7,22,30,0,0,0
2016,1,7,23,30,0,0,0
2016,1,8,0,30,0,0,0
2016,1,8,1,30,0,0,0
2016,1,8,2,30,0,0,0
2016,1,8,3,30,0,0,0
2016,1,8,4,30,0,0,0
2016,1,8,5,30,0,0,0
2016,1,8,6,30,0,0,0
2016,1,8,7,30,0,0,0
2016,1,8,8,30,0,0,0
2016,1,8,9,30,0,0,0
2016,1,8,10,30,0,0,0
2016,1,8,11,30,0,0,0
2016,1,8,12,30,0,0,0
2016,1,8,13,30,38,0,38
2016,1,8,14,30,120,21,127
2016,1,8,15,30,168,32,181
2016,1,8,16,30,145,0,145
2016,1,8,17,30,101,0,101
2016,1,8,18,30,74,0,74
2016,1,8,19,30,155,51,175
2016,1,8,20,30,37,0,37
2016,1,8,21,30,5,0,5
2016,1,8,22,30,0,0,0
2016,1,8,23,30,0,0,0
2016,1,9,0,30,0,0,0
2016,1,9,1,30,0,0,0
2016,1,9,2,30,0,0,0
2016,1,9,3,30,0,0,0
2016,1,9,4,30,0,0,0
2016,1,9,5,30,0,0,0
2016,1,9,6,30,0,0,0
2016,1,9,7,30,0,0,0
2016,1,9,8,30,0,0,0
2016,1,9,9,30,0,0,0
2016,1,9,10,30,0,0,0
2016,1,9,11,30,0,0,0
2016,1,9,12,30,0,0,0
2016,1,9,13,30,50,509,140
2016,1,9,14,30,70,709,297
2016,1,9,15,30,125,0,125
2016,1,9,16,30,219,115,276
2016,1,9,17,30,210,316,370
2016,1,9,18,30,208,168,287
2016,1,9,19,30,164,159,225
2016,1,9,20,30,96,14,99
2016,1,9,21,30,36,36,40
2016,1,9,22,30,0,0,0
2016,1,9,23,30,0,0,0
2016,1,10,0,30,0,0,0
2016,1,10,1,30,0,0,0
2016,1,10,2,30,0,0,0
2016,1,10,3,30,0,0,0
2016,1,10,4,30,0,0,0
2016,1,10,5,30,0,0,0
2016,1,10,6,30,0,0,0
2016,1,10,7,30,0,0,0
2016,1,10,8,30,0,0,0
2016,1,10,9,30,0,0,0
2016,1,10,10,30,0,0,0
2016,1,10,11,30,0,0,0
2016,1,10,12,30,0,0,0
2016,1,10,13,30,58,0,58
2016,1,10,14,30,53,774,302
2016,1,10,15,30,58,879,436
2016,1,10,16,30,88,0,88
2016,1,10,17,30,61,932,534
2016,1,10,18,30,210,131,272
2016,1,10,19,30,66,822,385
2016,1,10,20,30,102,41,112
2016,1,10,21,30,32,441,79
2016,1,10,22,30,0,0,0
2016,1,10,23,30,0,0,0
2016,1,11,0,30,0,0,0
2016,1,11,1,30,0,0,0
2016,1,11,2,30,0,0,0
2016,1,11,3,30,0,0,0
2016,1,11,4,30,0,0,0
2016,1,11,5,30,0,0,0
2016,1,11,6,30,0,0,0
2016,1,11,7,30,0,0,0
2016,1,11,8,30,0,0,0
2016,1,11,9,30,0,0,0
2016,1,11,10,30,0,0,0
2016,1,11,11,30,0,0,0
2016,1,11,12,30,0,0,0
2016,1,11,13,30,38,728,167
2016,1,11,14,30,50,892,338
2016,1,11,15,30,56,966,472
2016,1,11,16,30,58,984,545
2016,1,11,17,30,59,991,563
2016,1,11,18,30,58,972,519
2016,1,11,19,30,53,914,411
2016,1,11,20,30,44,815,261
2016,1,11,21,30,27,574,90
2016,1,11,22,30,0,0,0
2016,1,11,23,30,0,0,0
2016,1,12,0,30,0,0,0
2016,1,12,1,30,0,0,0
2016,1,12,2,30,0,0,0
2016,1,12,3,30,0,0,0
2016,1,12,4,30,0,0,0
2016,1,12,5,30,0,0,0
2016,1,12,6,30,0,0,0
2016,1,12,7,30,0,0,0
2016,1,12,8,30,0,0,0
2016,1,12,9,30,0,0,0
2016,1,12,10,30,0,0,0
2016,1,12,11,30,0,0,0
2016,1,12,12,30,0,0,0
2016,1,12,13,30,42,630,154
2016,1,12,14,30,62,779,314
2016,1,12,15,30,140,490,352
2016,1,12,16,30,77,891,520
2016,1,12,17,30,219,291,368
2016,1,12,18,30,211,198,305
2016,1,12,19,30,164,65,189
2016,1,12,20,30,50,759,254
2016,1,12,21,30,25,0,25
2016,1,12,22,30,0,0,0
2016,1,12,23,30,0,0,0
2016,1,13,0,30,0,0,0
2016,1,13,1,30,0,0,0
2016,1,13,2,30,0,0,0
2016,1,13,3,30,0,0,0
2016,1,13,4,30,0,0,0
2016,1,13,5,30,0,0,0
2016,1,13,6,30,0,0,0
2016,1,13,7,30,0,0,0
2016,1,13,8,30,0,0,0
2016,1,13,9,30,0,0,0
2016,1,13,10,30,0,0,0
2016,1,13,11,30,0,0,0
2016,1,13,12,30,0,0,0
2016,1,13,13,30,37,715,165
2016,1,13,14,30,49,878,334
2016,1,13,15,30,53,954,468
2016,1,13,16,30,56,986,548
2016,1,13,17,30,56,983,561
2016,1,13,18,30,56,964,519
2016,1,13,19,30,52,918,417
2016,1,13,20,30,44,808,265
2016,1,13,21,30,29,570,94
2016,1,13,22,30,0,0,0
2016,1,13,23,30,0,0,0
2016,1,14,0,30,0,0,0
2016,1,14,1,30,0,0,0
2016,1,14,2,30,0,0,0
2016,1,14,3,30,0,0,0
2016,1,14,4,30,0,0,0
2016,1,14,5,30,0,0,0
2016,1,14,6,30,0,0,0
2016,1,14,7,30,0,0,0
2016,1,14,8,30,0,0,0
2016,1,14,9,30,0,0,0
2016,1,14,10,30,0,0,0
2016,1,14,11,30,0,0,0
2016,1,14,12,30,0,0,0
2016,1,14,13,30,39,649,157
2016,1,14,14,30,52,823,321
2016,1,14,15,30,56,907,452
2016,1,14,16,30,59,943,532
2016,1,14,17,30,61,944,548
2016,1,14,18,30,60,926,507
2016,1,14,19,30,56,877,407
2016,1,14,20,30,48,768,260
2016,1,14,21,30,30,530,93
2016,1,14,22,30,0,0,0
2016,1,14,23,30,0,0,0
2016,1,15,0,30,0,0,0
2016,1,15,1,30,0,0,0
2016,1,15,2,30,0,0,0
2016,1,15,3,30,0,0,0
2016,1,15,4,30,0,0,0
2016,1,15,5,30,0,0,0
2016,1,15,6,30,0,0,0
2016,1,15,7,30,0,0,0
2016,1,15,8,30,0,0,0
2016,1,15,9,30,0,0,0
2016,1,15,10,30,0,0,0
2016,1,15,11,30,0,0,0
2016,1,15,12,30,0,0,0
2016,1,15,13,30,67,164,97
2016,1,15,14,30,99,473,255
2016,1,15,15,30,150,455,349
2016,1,15,16,30,202,360,383
2016,1,15,17,30,226,68,262
2016,1,15,18,30,177,14,184
2016,1,15,19,30,91,0,91
2016,1,15,20,30,29,0,29
2016,1,15,21,30,9,0,9
2016,1,15,22,30,0,0,0
2016,1,15,23,30,0,0,0
2016,1,16,0,30,0,0,0
2016,1,16,1,30,0,0,0
2016,1,16,2,30,0,0,0
2016,1,16,3,30,0,0,0
2016,1,16,4,30,0,0,0
2016,1,16,5,30,0,0,0
2016,1,16,6,30,0,0,0
2016,1,16,7,30,0,0,0
2016,1,16,8,30,0,0,0
2016,1,16,9,30,0,0,0
2016,1,16,10,30,0,0,0
2016,1,16,11,30,0,0,0
2016,1,16,12,30,0,0,0
2016,1,16,13,30,42,630,158
2016,1,16,14,30,58,800,322
2016,1,16,15,30,64,881,452
2016,1,16,16,30,67,918,532
2016,1,16,17,30,69,921,550
2016,1,16,18,30,213,79,252
2016,1,16,19,30,165,47,184
2016,1,16,20,30,112,59,128
2016,1,16,21,30,44,21,46
2016,1,16,22,30,0,0,0
2016,1,16,23,30,0,0,0
2016,1,17,0,30,0,0,0
2016,1,17,1,30,0,0,0
2016,1,17,2,30,0,0,0
2016,1,17,3,30,0,0,0
2016,1,17,4,30,0,0,0
2016,1,17,5,30,0,0,0
2016,1,17,6,30,0,0,0
2016,1,17,7,30,0,0,0
2016,1,17,8,30,0,0,0
2016,1,17,9,30,0,0,0
2016,1,17,10,30,0,0,0
2016,1,17,11,30,0,0,0
2016,1,17,12,30,0,0,0
2016,1,17,13,30,23,0,23
2016,1,17,14,30,54,0,54
2016,1,17,15,30,33,0,33
2016,1,17,16,30,28,0,28
2016,1,17,17,30,136,0,136
2016,1,17,18,30,212,67,245
2016,1,17,19,30,124,0,124
2016,1,17,20,30,114,74,135
2016,1,17,21,30,30,0,30
2016,1,17,22,30,0,0,0
2016,1,17,23,30,0,0,0
2016,1,18,0,30,0,0,0
2016,1,18,1,30,0,0,0
2016,1,18,2,30,0,0,0
2016,1,18,3,30,0,0,0
2016,1,18,4,30,0,0,0
2016,1,18,5,30,0,0,0
2016,1,18,6,30,0,0,0
2016,1,18,7,30,0,0,0
2016,1,18,8,30,0,0,0
2016,1,18,9,30,0,0,0
2016,1,18,10,30,0,0,0
2016,1,18,11,30,0,0,0
2016,1,18,12,30,0,0,0
2016,1,18,13,30,36,747,176
2016,1,18,14,30,49,902,350
2016,1,18,15,30,54,975,488
2016,1,18,16,30,57,1007,572
2016,1,18,17,30,58,999,586
2016,1,18,18,30,59,980,544
2016,1,18,19,30,57,934,443
2016,1,18,20,30,48,857,296
2016,1,18,21,30,31,645,116
2016,1,18,22,30,0,0,0
2016,1,18,23,30,0,0,0
2016,1,19,0,30,0,0,0
2016,1,19,1,30,0,0,0
2016,1,19,2,30,0,0,0
2016,1,19,3,30,0,0,0
2016,1,19,4,30,0,0,0
2016,1,19,5,30,0,0,0
2016,1,19,6,30,0,0,0
2016,1,19,7,30,0,0,0
2016,1,19,8,30,0,0,0
2016,1,19,9,30,0,0,0
2016,1,19,10,30,0,0,0
2016,1,19,11,30,0,0,0
2016,1,19,12,30,11,260,15
2016,1,19,13,30,40,716,174
2016,1,19,14,30,54,874,348
2016,1,19,15,30,63,944,485
2016,1,19,16,30,67,977,570
2016,1,19,17,30,68,985,592
2016,1,19,18,30,64,974,550
2016,1,19,19,30,59,932,447
2016,1,19,20,30,50,856,301
2016,1,19,21,30,33,644,120
2016,1,19,22,30,0,0,0
2016,1,19,23,30,0,0,0
2016,1,20,0,30,0,0,0
2016,1,20,1,30,0,0,0
2016,1,20,2,30,0,0,0
2016,1,20,3,30,0,0,0
2016,1,20,4,30,0,0,0
2016,1,20,5,30,0,0,0
2016,1,20,6,30,0,0,0
2016,1,20,7,30,0,0,0
2016,1,20,8,30,0,0,0
2016,1,20,9,30,0,0,0
2016,1,20,10,30,0,0,0
2016,1,20,11,30,0,0,0
2016,1,20,12,30,4,0,4
2016,1,20,13,30,70,179,104
2016,1,20,14,30,69,793,337
2016,1,20,15,30,79,868,470
2016,1,20,16,30,174,505,436
2016,1,20,17,30,242,108,300
2016,1,20,18,30,217,257,346
2016,1,20,19,30,129,513,345
2016,1,20,20,30,81,0,81
2016,1,20,21,30,21,0,21
2016,1,20,22,30,0,0,0
2016,1,20,23,30,0,0,0
2016,1,21,0,30,0,0,0
2016,1,21,1,30,0,0,0
2016,1,21,2,30,0,0,0
2016,1,21,3,30,0,0,0
2016,1,21,4,30,0,0,0
2016,1,21,5,30,0,0,0
2016,1,21,6,30,0,0,0
2016,1,21,7,30,0,0,0
2016,1,21,8,30,0,0,0
2016,1,21,9,30,0,0,0
2016,1,21,10,30,0,0,0
2016,1,21,11,30,0,0,0
2016,1,21,12,30,12,175,16
2016,1,21,13,30,49,642,172
2016,1,21,14,30,67,815,344
2016,1,21,15,30,76,897,482
2016,1,21,16,30,82,922,561
2016,1,21,17,30,177,526,460
2016,1,21,18,30,80,914,542
2016,1,21,19,30,72,873,442
2016,1,21,20,30,60,779,293
2016,1,21,21,30,38,560,118
2016,1,21,22,30,0,0,0
2016,1,21,23,30,0,0,0
2016,1,22,0,30,0,0,0
2016,1,22,1,30,0,0,0
2016,1,22,2,30,0,0,0
2016,1,22,3,30,0,0,0
2016,1,22,4,30,0,0,0
2016,1,22,5,30,0,0,0
2016,1,22,6,30,0,0,0
2016,1,22,7,30,0,0,0
2016,1,22,8,30,0,0,0
2016,1,22,9,30,0,0,0
2016,1,22,10,30,0,0,0
2016,1,22,11,30,0,0,0
2016,1,22,12,30,4,0,4
2016,1,22,13,30,60,0,60
2016,1,22,14,30,126,14,131
2016,1,22,15,30,118,0,118
2016,1,22,16,30,81,0,81
2016,1,22,17,30,128,0,128
2016,1,22,18,30,96,0,96
2016,1,22,19,30,123,0,123
2016,1,22,20,30,61,0,61
2016,1,22,21,30,36,0,36
2016,1,22,22,30,0,0,0
2016,1,22,23,30,0,0,0
2016,1,23,0,30,0,0,0
2016,1,23,1,30,0,0,0
2016,1,23,2,30,0,0,0
2016,1,23,3,30,0,0,0
2016,1,23,4,30,0,0,0
2016,1,23,5,30,0,0,0
2016,1,23,6,30,0,0,0
2016,1,23,7,30,0,0,0
2016,1,23,8,30,0,0,0
2016,1,23,9,30,0,0,0
2016,1,23,10,30,0,0,0
2016,1,23,11,30,0,0,0
2016,1,23,12,30,4,0,4
2016,1,23,13,30,55,0,55
2016,1,23,14,30,67,0,67
2016,1,23,15,30,180,29,193
2016,1,23,16,30,228,62,260
2016,1,23,17,30,64,0,64
2016,1,23,18,30,29,0,29
2016,1,23,19,30,85,0,85
2016,1,23,20,30,74,0,74
2016,1,23,21,30,27,0,27
2016,1,23,22,30,0,0,0
2016,1,23,23,30,0,0,0
2016,1,24,0,30,0,0,0
2016,1,24,1,30,0,0,0
2016,1,24,2,30,0,0,0
2016,1,24,3,30,0,0,0
2016,1,24,4,30,0,0,0
2016,1,24,5,30,0,0,0
2016,1,24,6,30,0,0,0
2016,1,24,7,30,0,0,0
2016,1,24,8,30,0,0,0
2016,1,24,9,30,0,0,0
2016,1,24,10,30,0,0,0
2016,1,24,11,30,0,0,0
2016,1,24,12,30,13,307,21
2016,1,24,13,30,44,735,190
2016,1,24,14,30,63,873,367
2016,1,24,15,30,73,946,510
2016,1,24,16,30,78,980,598
2016,1,24,17,30,79,980,616
2016,1,24,18,30,76,966,575
2016,1,24,19,30,70,914,468
2016,1,24,20,30,58,825,315
2016,1,24,21,30,38,624,133
2016,1,24,22,30,0,0,0
2016,1,24,23,30,0,0,0
2016,1,25,0,30,0,0,0
2016,1,25,1,30,0,0,0
2016,1,25,2,30,0,0,0
2016,1,25,3,30,0,0,0
2016,1,25,4,30,0,0,0
2016,1,25,5,30,0,0,0
2016,1,25,6,30,0,0,0
2016,1,25,7,30,0,0,0
2016,1,25,8,30,0,0,0
2016,1,25,9,30,0,0,0
2016,1,25,10,30,0,0,0
2016,1,25,11,30,0,0,0
2016,1,25,12,30,10,0,10
2016,1,25,13,30,75,165,108
2016,1,25,14,30,19,0,19
2016,1,25,15,30,147,516,387
2016,1,25,16,30,214,368,410
2016,1,25,17,30,196,483,463
2016,1,25,18,30,108,876,564
2016,1,25,19,30,151,445,346
2016,1,25,20,30,115,306,211
2016,1,25,21,30,53,254,92
2016,1,25,22,30,0,0,0
2016,1,25,23,30,0,0,0
2016,1,26,0,30,0,0,0
2016,1,26,1,30,0,0,0
2016,1,26,2,30,0,0,0
2016,1,26,3,30,0,0,0
2016,1,26,4,30,0,0,0
2016,1,26,5,30,0,0,0
2016,1,26,6,30,0,0,0
2016,1,26,7,30,0,0,0
2016,1,26,8,30,0,0,0
2016,1,26,9,30,0,0,0
2016,1,26,10,30,0,0,0
2016,1,26,11,30,0,0,0
2016,1,26,12,30,7,0,7
2016,1,26,13,30,77,104,98
2016,1,26,14,30,145,75,172
2016,1,26,15,30,178,380,356
2016,1,26,16,30,163,566,467
2016,1,26,17,30,232,344,423
2016,1,26,18,30,237,188,335
2016,1,26,19,30,182,281,306
2016,1,26,20,30,126,218,195
2016,1,26,21,30,59,111,76
2016,1,26,22,30,0,0,0
2016,1,26,23,30,0,0,0
2016,1,27,0,30,0,0,0
2016,1,27,1,30,0,0,0
2016,1,27,2,30,0,0,0
2016,1,27,3,30,0,0,0
2016,1,27,4,30,0,0,0
2016,1,27,5,30,0,0,0
2016,1,27,6,30,0,0,0
2016,1,27,7,30,0,0,0
2016,1,27,8,30,0,0,0
2016,1,27,9,30,0,0,0
2016,1,27,10,30,0,0,0
2016,1,27,11,30,0,0,0
2016,1,27,12,30,6,0,6
2016,1,27,13,30,63,0,63
2016,1,27,14,30,132,15,137
2016,1,27,15,30,173,15,179
2016,1,27,16,30,163,569,471
2016,1,27,17,30,224,388,441
2016,1,27,18,30,209,379,409
2016,1,27,19,30,81,876,472
2016,1,27,20,30,82,562,263
2016,1,27,21,30,60,100,77
2016,1,27,22,30,0,0,0
2016,1,27,23,30,0,0,0
2016,1,28,0,30,0,0,0
2016,1,28,1,30,0,0,0
2016,1,28,2,30,0,0,0
2016,1,28,3,30,0,0,0
2016,1,28,4,30,0,0,0
2016,1,28,5,30,0,0,0
2016,1,28,6,30,0,0,0
2016,1,28,7,30,0,0,0
2016,1,28,8,30,0,0,0
2016,1,28,9,30,0,0,0
2016,1,28,10,30,0,0,0
2016,1,28,11,30,0,0,0
2016,1,28,12,30,9,0,9
2016,1,28,13,30,77,186,116
2016,1,28,14,30,146,61,168
2016,1,28,15,30,177,401,367
2016,1,28,16,30,218,379,424
2016,1,28,17,30,175,563,492
2016,1,28,18,30,124,689,489
2016,1,28,19,30,181,39,199
2016,1,28,20,30,120,310,222
2016,1,28,21,30,44,0,44
2016,1,28,22,30,0,0,0
2016,1,28,23,30,0,0,0
2016,1,29,0,30,0,0,0
2016,1,29,1,30,0,0,0
2016,1,29,2,30,0,0,0
2016,1,29,3,30,0,0,0
2016,1,29,4,30,0,0,0
2016,1,29,5,30,0,0,0
2016,1,29,6,30,0,0,0
2016,1,29,7,30,0,0,0
2016,1,29,8,30,0,0,0
2016,1,29,9,30,0,0,0
2016,1,29,10,30,0,0,0
2016,1,29,11,30,0,0,0
2016,1,29,12,30,16,221,24
2016,1,29,13,30,55,492,159
2016,1,29,14,30,136,323,253
2016,1,29,15,30,156,506,398
2016,1,29,16,30,183,521,469
2016,1,29,17,30,73,0,73
2016,1,29,18,30,21,0,21
2016,1,29,19,30,83,898,491
2016,1,29,20,30,62,835,337
2016,1,29,21,30,40,660,153
2016,1,29,22,30,0,0,0
2016,1,29,23,30,0,0,0
2016,1,30,0,30,0,0,0
2016,1,30,1,30,0,0,0
2016,1,30,2,30,0,0,0
2016,1,30,3,30,0,0,0
2016,1,30,4,30,0,0,0
2016,1,30,5,30,0,0,0
2016,1,30,6,30,0,0,0
2016,1,30,7,30,0,0,0
2016,1,30,8,30,0,0,0
2016,1,30,9,30,0,0,0
2016,1,30,10,30,0,0,0
2016,1,30,11,30,0,0,0
2016,1,30,12,30,15,309,27
2016,1,30,13,30,45,700,195
2016,1,30,14,30,64,842,372
2016,1,30,15,30,79,903,513
2016,1,30,16,30,133,680,507
2016,1,30,17,30,86,943,624
2016,1,30,18,30,83,929,584
2016,1,30,19,30,75,890,483
2016,1,30,20,30,62,802,330
2016,1,30,21,30,42,617,149
2016,1,30,22,30,0,0,0
2016,1,30,23,30,0,0,0
2016,1,31,0,30,0,0,0
2016,1,31,1,30,0,0,0
2016,1,31,2,30,0,0,0
2016,1,31,3,30,0,0,0
2016,1,31,4,30,0,0,0
2016,1,31,5,30,0,0,0
2016,1,31,6,30,0,0,0
2016,1,31,7,30,0,0,0
2016,1,31,8,30,0,0,0
2016,1,31,9,30,0,0,0
2016,1,31,10,30,0,0,0
2016,1,31,11,30,0,0,0
2016,1,31,12,30,17,205,25
2016,1,31,13,30,50,636,188
2016,1,31,14,30,65,806,362
2016,1,31,15,30,72,882,499
2016,1,31,16,30,75,919,585
2016,1,31,17,30,76,929,610
2016,1,31,18,30,191,489,457
2016,1,31,19,30,141,542,391
2016,1,31,20,30,137,201,204
2016,1,31,21,30,63,217,102
2016,1,31,22,30,0,0,0
2016,1,31,23,30,0,0,0
1999,2,1,0,30,0,0,0
1999,2,1,1,30,0,0,0
1999,2,1,2,30,0,0,0
1999,2,1,3,30,0,0,0
1999,2,1,4,30,0,0,0
1999,2,1,5,30,0,0,0
1999,2,1,6,30,0,0,0
1999,2,1,7,30,0,0,0
1999,2,1,8,30,0,0,0
1999,2,1,9,30,0,0,0
1999,2,1,10,30,0,0,0
1999,2,1,11,30,0,0,0
1999,2,1,12,30,12,0,12
1999,2,1,13,30,71,0,71
1999,2,1,14,30,156,150,212
1999,2,1,15,30,207,271,339
1999,2,1,16,30,254,210,372
1999,2,1,17,30,267,116,334
1999,2,1,18,30,251,146,331
1999,2,1,19,30,86,748,435
1999,2,1,20,30,141,88,171
1999,2,1,21,30,15,0,15
1999,2,1,22,30,0,0,0
1999,2,1,23,30,0,0,0
1999,2,2,0,30,0,0,0
1999,2,2,1,30,0,0,0
1999,2,2,2,30,0,0,0
1999,2,2,3,30,0,0,0
1999,2,2,4,30,0,0,0
1999,2,2,5,30,0,0,0
1999,2,2,6,30,0,0,0
1999,2,2,7,30,0,0,0
1999,2,2,8,30,0,0,0
1999,2,2,9,30,0,0,0
1999,2,2,10,30,0,0,0
1999,2,2,11,30,0,0,0
1999,2,2,12,30,6,0,6
1999,2,2,13,30,23,0,23
1999,2,2,14,30,142,20,149
1999,2,2,15,30,157,0,157
1999,2,2,16,30,170,1,171
1999,2,2,17,30,239,37,261
1999,2,2,18,30,88,0,88
1999,2,2,19,30,205,86,245
1999,2,2,20,30,126,12,130
1999,2,2,21,30,55,493,147
1999,2,2,22,30,0,0,0
1999,2,2,23,30,0,0,0
1999,2,3,0,30,0,0,0
1999,2,3,1,30,0,0,0
1999,2,3,2,30,0,0,0
1999,2,3,3,30,0,0,0
1999,2,3,4,30,0,0,0
1999,2,3,5,30,0,0,0
1999,2,3,6,30,0,0,0
1999,2,3,7,30,0,0,0
1999,2,3,8,30,0,0,0
1999,2,3,9,30,0,0,0
1999,2,3,10,30,0,0,0
1999,2,3,11,30,0,0,0
1999,2,3,12,30,20,200,30
1999,2,3,13,30,59,607,196
1999,2,3,14,30,143,326,267
1999,2,3,15,30,83,878,519
1999,2,3,16,30,86,920,607
1999,2,3,17,30,86,931,633
1999,2,3,18,30,84,919,594
1999,2,3,19,30,78,876,494
1999,2,3,20,30,68,787,344
1999,2,3,21,30,48,606,163
1999,2,3,22,30,0,0,0
1999,2,3,23,30,0,0,0
1999,2,4,0,30,0,0,0
1999,2,4,1,30,0,0,0
1999,2,4,2,30,0,0,0
1999,2,4,3,30,0,0,0
1999,2,4,4,30,0,0,0
